KEY ID	SChinese
AdPolicyText	我们可以使用您的个人数据为您定制广告吗？如果单击“是”，那么我们的广告合作伙伴（例如 Google AdMob 和 Unity Ads）将自动收集数据，并使用设备标识符和 Cookie 推荐个性化广告。如果单击“否”，那么您可能仍会看到非个性化广告。若要移除所有广告，请在[httpstore]这里[]购买无广告升级，这样在您主持游戏时，您和好友就完全看不到广告！如需详细了解我们和广告合作伙伴的隐私处理方法，请查看我们的[https://www.innersloth.com/zh/privacy-policy-chinese/]隐私政策[]。您可以随时在“设置”菜单的“数据”下更改您的决定。
Accept	接受
RemoveAds	移除广告
PlainYes	是
PlainNo	否
PrivacyPolicyTitle	隐私条款
PrivacyPolicyText	《Among Us》的数据由 Innersloth 进行处理。请阅读我们的<link="https://www.innersloth.com/zh/privacy-policy-chinese/">隐私政策</link>，详细了解我们的隐私处理方法。您可以在“数据”下管理《Among Us》的个人数据设置。\n\n在玩《Among Us》之前，请阅读我们的 <link="https://www.innersloth.com/zh/terms-of-services-games-cn/">使用条款</link>。
ManageDataButton	管理数据收集
UnderstandButton	我理解
WaterPlants	为植物浇水
WeatherEta	预估抵达时间：\n{0} 秒
WeatherComplete	完成
RunDiagnostics	进行诊断
SettingShort	短
SettingMedium	中
SettingLong	长
SamplesPress	按下以开始
SamplesAdding	加入试剂
SamplesSelect	选择异常情况
SamplesThanks	谢谢您！
SamplesComplete	测试完成
AstDestroyed	已摧毁：{0}
TaskTestTitle	任务测试器 2000
BeginDiagnostics	开始诊断
UserLeftGame	{0} 已离开游戏。
GameStarting	开始倒计时：{0}
ChatRateLimit	太快了。请等候 {0} 秒
Tasks	任务
MedscanRequested	已要求扫描
MedscanWaitingFor	正在等待 {0}
MedscanCompleted	扫描完成！
MedscanCompleteIn	扫描完成倒计时：{0}
StatsTitle	数据
StatsBodiesReported	通报尸体次数：\t
StatsEmergenciesCalled	召开紧急会议次数：\t
StatsTasksCompleted	完成任务次数：\t
StatsAllTasksCompleted	完成所有任务次数：\t
StatsSabotagesFixed	修复破坏次数：\t
StatsImpostorKills	伪装者击杀次数：\t\t
StatsTimesMurdered	被杀次数：\t
StatsTimesEjected	被驱逐次数：\t\t
StatsCrewmateStreak	连续担任船员次数：\t
StatsGamesImpostor	担任伪装者次数：\t
StatsGamesCrewmate	担任船员次数：\t
StatsGamesStarted	开始游戏次数：\t
StatsGamesFinished	完成游戏次数：\t
StatsImpostorVoteWins	伪装者投票胜利次数：\t
StatsImpostorKillsWins	伪装者击杀胜利次数：\t
StatsImpostorSabotageWins	伪装者破坏胜利次数：\t
StatsCrewmateVoteWins	船员投票胜利次数：\t
StatsCrewmateTaskWins	船员任务胜利次数：\t
MonitorOxygen	监视树木
StoreArtifacts	存放文物
FillCanisters	装填罐子
InsertKeys	插入钥匙
ResetSeismic	重置抗震稳定器
SeismicHoldToStop	按住来启动抗震稳定器
SeismicNominal	抗震稳定器正常运作
ScanBoardingPass	扫描登船证
FixWeatherNode	修复气候节点
OpenWaterways	打开水路
ReplaceWaterJug	更换水壶
RepairDrill	修理钻头
AlignTelescope	调整望远镜
RecordTemperature	记录温度
RebootWifi	重启 WiFi
WifiRebootRequired	需要重启
WifiPleaseWait	请稍等
WifiPleaseReturnIn	请在下列时间后返回：{0}
WifiPleasePowerOn	请开启电源
WifiRebootComplete	重启完成
Outside	外部
Dropship	运输船
Decontamination2	上去污室
Specimens	样本室
BoilerRoom	锅炉室
GameOverImpostorDead	正常来说，伪装者死去后船员即获胜，但在练习模式中，我们会改为复活所有人。
GameOverImpostorKills	正常来说，由于船员已经无法胜利，伪装者会获胜，但在练习模式中，我们会改为复活所有人。
GameOverTaskWin	正常来说，由于任务计量条已满，船员会获胜，但在练习模式中，我们会改为发布新任务。
GameOverSabotage	正常来说，伪装者会因为做出重大破坏直接获胜，但我们改为阻止了破坏。
HowToPlayText2Switch	加入 Nintendo Switch Online 会员与 4 至 15 名玩家在线或利用区域无线网一起游玩！
VentDirection	通风口方向
VentMove	穿过通风口
MenuNavigate	导航
NsoError	无法连接网络。
ErrorServerOverload	《Among Us》服务器已过载。\r\n\r\n抱歉！请稍后再试！
ErrorIntentionalLeaving	故意断线后需等待 {0} 分钟才可加入下一场游戏。
ErrorFocusLost	您的连接已中断，因为有另一个应用程序《Among Us》暂停。
ErrorBanned	您已被 {0} 封禁。\r\n\r\n您无法重新加入此房间。
ErrorKicked	您已被踢出 {0}。\r\n\r\n如果该房间尚未开始游戏，您可以重新加入。
ErrorBannedNoCode	您已被此房间封禁。\r\n\r\n您无法重新加入此房间。
ErrorKickedNoCode	您已被此房间踢出。\r\n\r\n如果该房间尚未开始游戏，您可以重新加入。
ErrorHacking	您因作弊行为而遭到封禁。\r\n\r\n请停止这种行为。
ErrorFullGame	您想要加入的游戏已满员。\r\n\r\n请询问主持人，看看下一场能否加入吧。
ErrorStartedGame	您想要加入的游戏已开始。\r\n\r\n请询问主持人，看看下一场能否加入吧。
ErrorNotFoundGame	找不到您在寻找的游戏。
ErrorInactivity	服务器已中止游戏，可能是因为处于非活动状态。
ErrorGenericOnlineDisconnect	您与服务器的连接已中断。\r\n如果这种情形频繁发生，请检查您的网络强度。\r\n这也可能是服务器端的问题。
ErrorGenericLocalDisconnect	您与主持人的连接已中断。\r\n\r\n如果这种情形频繁发生，请检查您的 WiFi 强度。
ErrorInvalidName	游戏服务器拒绝此用户名称：{0}
ErrorUnknown	发生未知错误，您与服务器的连接已中断。
ErrorIncorrectVersion	您运行的游戏并非最新版本。\r\n\r\n请进行更新以便与其他玩家一同游玩。
ServerNA	北美洲
ServerEU	欧洲
ServerAS	亚洲
ServerSA	南美洲
LangEnglish	English
LangFrench	Fran?ais
LangItalian	Italiano
LangGerman	Deutsch
LangSpanish	Espa?ol
LangSpanishLATAM	Espa?ol (Latinoamérica)
LangBrazPort	Português (Brasil)
LangPort	Português
LangRussian	Русский
LangJapanese	日本語
LangKorean	???
LangDutch	Nederlands
LangFilipino	Bisaya
PlayerName	玩家
MyTablet	我的平板
Headquarters	总部
DownloadTestEstTimeS	预计时间：{0} 秒
DownloadTestEstTimeMS	预计时间：{0} 分 {1} 秒
DownloadTestEstTimeHMS	预计时间：{0} 小时 {1} 分 {2} 秒
DownloadTestEstTimeDHMS	预计时间：{0} 天 {1} 小时 {2} 分 {3} 秒
DownloadComplete	完成
GrabCoffee	去喝杯咖啡
TakeBreak	休息一下
DontNeedWait	不需要一直等
DoSomethingElse	去做点别的事
NodeTB	节点_TB
NodeIRO	节点_IRO
NodeGI	节点_GI
NodePD	节点_PD
NodeCA	节点_CA
NodeMLG	节点_MLG
Vending	贩卖中
OtherLanguage	其他
ImposterAmtAny	1-3
VitalsORGN	橘
VitalsBLUE	蓝
VitalsRED	红
VitalsBRWN	棕
VitalsGRN	绿
VitalsPINK	粉红
VitalsWHTE	白
VitalsYLOW	黄
VitalsBLAK	黑
VitalsPURP	紫
VitalsCYAN	青
VitalsLIME	黄绿
ColorOrange	橘色
ColorBlue	蓝色
ColorRed	红色
ColorBrown	棕色
ColorGreen	绿色
ColorPink	粉红色
ColorWhite	白色
ColorYellow	黄色
ColorBlack	黑色
ColorPurple	紫色
ColorCyan	青色
ColorLime	黄绿色
ColorMaroon	红褐色
ColorRose	玫红色
ColorBanana	蕉黄色
ColorGray	灰色
ColorTan	茶色
ColorCoral	珊瑚红
MedID	识别：
MedC	色彩：
MedHT	身高：
MedBT	血型：
MedWT	体重：
MedETA	预计抵达时间：{0}
MedHello	您好！
LobbySizeWarning	4 名玩家就可以游玩《Among Us》了，但是建议 5 名或以上会更好玩。\n\n只有 4 人的游戏很快就会结束，而且获胜的通常都是伪装者。
Okay	好的
OkayDontShow	好了，不再显示
Nevermind	没关系
CamEast	东侧
CamCentral	中央
CamNortheast	东北侧
CamSouth	南侧
CamSouthwest	西南侧
CamNorthwest	西北侧
LoadingFailed	加载失败：
PetFailFetchData	无法提取宠物数据
BadResult	不良结果
More	剩下 {0} 次
Processing	处理中
ExitGame	退出游戏
WaitingForHost	正在等待主持人
LeftGameError	{0} 因发生错误而离开游戏。
PlayerWasBannedBy	{0} 已被 {1} 封禁
PlayerWasKickedBy	{0} 已被 {1} 踢出
Dummy	假人
Bad	错误
Status	状态：
Fine	良好
OK	确认
SecondsAbbv	{0} 秒
PetTryOn	装备看看吧！
DataPolicyWhat	会收集哪些数据？
VaultRoom	保险库
Cockpit	座舱
Armory	军械库
Kitchen	厨房
ViewingDeck	瞭望台
HallOfPortraits	肖像厅
Medical	医疗室
CargoBay	货舱
Ventilation	通风室
Showers	淋浴室
Engine	引擎室
Brig	牢房
MeetingRoom	会议室
Records	档案室
Lounge	休息室
GapRoom	间隙室
MainHall	大厅
PolishRuby	抛光红宝石
ResetBreakers	重置断路器
Decontaminate	去污
MakeBurger	制作汉堡
UnlockSafe	解锁保险库
SortRecords	整理档案
PutAwayPistols	存放手枪
PutAwayRifles	存放步枪
FixShower	修理淋浴室
CleanToilet	清理马桶
DressMannequin	装饰假人
PickUpTowels	捡起浴巾
RewindTapes	倒带
StartFans	开启风扇
DevelopPhotos	冲洗相片
GetBiggolSword	取得 Biggol 剑
StopCharles	避开撞毁路线
RevealCode	显示代码
DirtyHeader	脏污程度
AuthLeftOkay	左侧正常
AuthRightOkay	右侧正常
AuthLeftActive	左侧运作中
AuthRightActive	右侧运作中
AuthLeftNotActive	左侧非运作
AuthRightNotActive	右侧非运作
PSXBEngagementScreen	按任意键开始。
DeleteButton	删除
QuickChat	快速聊天
QCBuilderHeader	快速聊天框
QCLocationLaptop	笔记本电脑
MapNameSkeld	Skeld
MapNameMira	Mira
MapNamePolus	Polus
MapNameAirship	Airship
MapNameFungle	Fungle
QCSystemsStart	开始
QCSystemsKick	踢出
QCCrewI	我（主语）
QCCrewMe	我（宾语）
QCBuildingPlaceholder	组织语言……
QCCrewDead	死亡
QCTagSelf	我
QCInputSelf	我
QCTagFavorites	收藏
QCInputFavorite	收藏
QCTagRoles	角色
QCInputRole	角色
QCTagTasks	任务
QCInputTask	任务
QCTagSabotages	系统
QCInputSabotages	破坏
QCTagQuickRemarks	一键发言
QCTagRemarks	评论
QCInputRemark	评论
QCTagAccuse	指控！
QCInputAccusation	指控
QCTagDefend	申辩！
QCInputDefense	辩护
QCTagQuestionSingular	问题
QCTagQuestion	有问题？
QCTagLobby	大厅
QCTagImpostor	伪装者
QCTagMeeting	会议
QCTagHiding	躲藏
QCTagFlashlight	手电筒
QCSelfVoted	我投了{0}
QCSelfReportedBody	我报告发现了尸体
QCSelfCams	我当时在查监控
QCCrewCams	{0}当时在查监控
QCSelfWasProtected	天使保护了我
QCCrewWasProtected	天使保护了{0}
QCSelfWasntMe	不是我
QCWhoWasAt	当时谁在{0}？
QCSelfDoingTask	我当时在做{0}
QCWhoIsRole	{0}是谁？
QCSelfFixedSystem	我修复了{0}
QCCrewFixedSystem	{0}修复了{1}
QCSelfAccAtLocation	我看到{1}在{2}时被{0}杀了
QCSelfDidTaskAtLocation	我当时在{1}做{0}
QCCrewDidTaskAtLocation	{0}当时在{2}做{1}
QCSelfSawCrewVentAtLocation	我看到{0}钻进了{1}的通风口
QCSelfDidntVent	我没有钻通风口
QCFollowMe	跟着我
QCItsNotMe	不是我
QCSelfDoneWithTasks	我的任务都做完了
QCGhostsDoYourTasks	幽灵去做任务
QCSelfNotTheImpostor	我不是伪装者
QCHello	你好啊
QCThanks	谢谢
QCSorry	对不起
QCGG	这局打得不错
QCBye	再见啦
QCWhereWasTheBody	尸体在哪儿？
QCSelfReady	我准备好了
QCSelfWasRole	我是{0}
QCWhoWasRole	谁是{0}？
QCCoolOutfitCrew	皮肤不错，{0}！
QCCrewReportedBody	{0}报告发现了尸体
QCCrewNoOne	没有人
QCResYes	是
QCResNo	否
QCResDontKnow	我不知道
QCResDontKnowNeg	也许
QCResVote	投票
QCResVoteNeg	跳过投票
QCResRip	安息吧
QCResRipNeg	嘿
QCResLies	说谎
QCResLiesNeg	好
QCQstWhere	哪里？
QCQstWho	谁？
QCQstWhoDidTask	谁负责的{0}？
QCQstBodyOrMeeting	这是发现尸体还是紧急会议？
QCStaDoubleKill	这是双杀
QCStaWasSelfReport	这是凶手自首
QCStaPleaseDoTasks	请完成您的任务
QCStaBodyWasInA	尸体刚刚在{0}
QCLocation	位置
QCSystems	系统
QCCrew	船员
QCAccusation	指控
QCResponse	回应
QCQuestion	问题
QCStatements	陈述
QCSelfWasUsingBinoculars	我在用双筒望远镜
QCSelfSawThroughBinoculars	我通过双筒望远镜看到了
QCInTheSporeCloud	在孢子云里
QCHiddenBySporeCloud	被孢子云遮住了
CQCrewKilledDeadInSporeCloud	{0} 在孢子云里杀死了 {1}
QCSelfUsingZipline	我在用滑索
QCSelfSawWhileUsingZipline	我在用滑索的时候看到了
QCCrewWasUsingZipline	{0} 在用滑索
QCDuringMushroomMixup	在混合蘑菇期间
ChatType	聊天类型
QuickChatOnly	仅限快速聊天
FreeChatOnly	仅限自由聊天
FreeOrQuickChat	自由聊天
DateOfBirth	出生年月日
DateOfBirthEnter	请输入您的出生年月日：
Month	月
Day	日
Year	年
January	一月
February	二月
March	三月
April	四月
May	五月
June	六月
July	七月
August	八月
September	九月
October	十月
November	十一月
December	十二月
Submit	提交
QCAccAKilledB_QCCrewMe_ANY	我杀死了 {1}
QCAccAKilledB_QCCrewMe_QCCrewNoOne	我没有杀任何人
QCAccAKilledB_QCCrewMe_QCCrewMe
QCAccAKilledB_ANY_QCCrewMe	{0} 杀了我
QCAccAKilledB	{0} 杀死了 {1}
QCAccAKilledB_ANY_QCCrewNoOne	{0} 没有杀任何人
QCAccAKilledB_QCCrewNoOne_QCCrewMe	没有人杀我
QCAccAKilledB_QCCrewNoOne_ANY	没有人杀了 {1}
QCAccAKilledB_QCCrewNoOne_QCCrewNoOne	没有人杀死任何人
QCAccAKilledBNeg_QCCrewMe_ANY	我没有杀 {0}
QCAccAKilledBNeg_QCCrewMe_QCCrewNoOne	我没有杀任何人
QCAccAKilledBNeg_QCCrewMe_QCCrewMe	我没有自杀
QCAccAKilledBNeg_ANY_QCCrewMe	{0} 没有杀我
QCAccAKilledBNeg	{0} 没有杀死 {1}
QCAccAKilledBNeg_ANY_QCCrewNoOne	{0} 没有杀任何人
QCAccAKilledBNeg_QCCrewNoOne_QCCrewMe
QCAccAKilledBNeg_QCCrewNoOne_ANY
QCAccAKilledBNeg_QCCrewNoOne_QCCrewNoOne
QCAccAIsSuspicious_QCCrewMe	我很可疑
QCAccAIsSuspicious	{0} 很可疑
QCAccAIsSuspicious_QCCrewNoOne	没有人很可疑
QCAccAIsSuspiciousNeg_QCCrewMe	我是好人
QCAccAIsSuspiciousNeg	{0} 是好人
QCAccAIsSuspiciousNeg_QCCrewNoOne	大家都是坏人
QCAccASawBVent_QCCrewMe_ANY	我看见 {0} 进出通风口
QCAccASawBVent_QCCrewMe_QCCrewNoOne	我没看见任何人进出通风口
QCAccASawBVent_QCCrewMe_QCCrewMe
QCAccASawBVent_ANY_QCCrewMe	{0} 看见我进出通风口
QCAccASawBVent	{0} 看见 {1} 进出通风口
QCAccASawBVent_ANY_QCCrewNoOne	{0} 没看见有人进出通风口
QCAccASawBVent_QCCrewNoOne_QCCrewMe	没人看见我进出通风口
QCAccASawBVent_QCCrewNoOne_ANY	没有人看见 {1} 进出通风口
QCAccASawBVent_QCCrewNoOne_QCCrewNoOne	没人看见有人进出通风口
QCAccASawBVentNeg_QCCrewMe_ANY	我没见过 {0} 进出通风口
QCAccASawBVentNeg_QCCrewMe_QCCrewNoOne	我没见过任何人进出通风口
QCAccASawBVentNeg_QCCrewMe_QCCrewMe
QCAccASawBVentNeg_ANY_QCCrewMe	{0} 没看见我进出通风口
QCAccASawBVentNeg	{0} 没看过 {1} 进出通风口
QCAccASawBVentNeg_ANY_QCCrewNoOne	{0} 没见过任何人进出通风口
QCAccASawBVentNeg_QCCrewNoOne_QCCrewMe	绝对没有人看见我进出通风口
QCAccASawBVentNeg_QCCrewNoOne_ANY	绝对没有人看见 {1} 进出通风口
QCAccASawBVentNeg_QCCrewNoOne_QCCrewNoOne	绝对没有人见过任何人进出通风口
QCAccAWasChasingB_QCCrewMe_ANY	我刚刚在追 {0}
QCAccAWasChasingB_QCCrewMe_QCCrewNoOne	我刚刚没有在追任何人
QCAccAWasChasingB_QCCrewMe_QCCrewMe
QCAccAWasChasingB_ANY_QCCrewMe	{0} 刚刚在追我
QCAccAWasChasingB	{0} 刚刚在追 {1}
QCAccAWasChasingB_ANY_QCCrewNoOne	{0} 刚刚没有在追任何人
QCAccAWasChasingB_QCCrewNoOne_QCCrewMe	刚刚没有人在追我
QCAccAWasChasingB_QCCrewNoOne_ANY	刚刚没有人在追 {1}
QCAccAWasChasingB_QCCrewNoOne_QCCrewNoOne	刚刚没有人在追任何人
QCAccAWasChasingBNeg_QCCrewMe_ANY	我刚刚没有在追 {0}
QCAccAWasChasingBNeg_QCCrewMe_QCCrewNoOne	我刚刚没有在追任何人
QCAccAWasChasingBNeg_QCCrewMe_QCCrewMe
QCAccAWasChasingBNeg_ANY_QCCrewMe	{0} 刚刚没有在追我
QCAccAWasChasingBNeg	{0} 刚刚没有在追 {1}
QCAccAWasChasingBNeg_ANY_QCCrewNoOne	{0} 刚刚没有在追任何人
QCAccAWasChasingBNeg_QCCrewNoOne_QCCrewMe
QCAccAWasChasingBNeg_QCCrewNoOne_ANY
QCAccAWasChasingBNeg_QCCrewNoOne_QCCrewNoOne
QCAccAIsLying_QCCrewMe	我在说谎
QCAccAIsLying	{0} 在说谎
QCAccAIsLying_QCCrewNoOne	没有人在说谎
QCAccAIsLyingNeg_QCCrewMe	我说的是实话
QCAccAIsLyingNeg	{0} 说的是实话
QCAccAIsLyingNeg_QCCrewNoOne	没人说实话
QCAccVoteA_QCCrewMe	投票给我
QCAccVoteA	投票给 {0}
QCAccVoteA_QCCrewNoOne	别投票驱逐任何人
QCAccVoteANeg_QCCrewMe	别投票给我
QCAccVoteANeg	不要投票给 {0}
QCAccVoteANeg_QCCrewNoOne
QCAccADidntReport_QCCrewMe	我没有报告尸体
QCAccADidntReport	{0} 发现尸体没有报告
QCAccADidntReport_QCCrewNoOne
QCResAWas_QCCrewMe	我刚刚有
QCResAWas	{0} 刚刚有
QCResAWas_QCCrewNoOne	没有人刚刚有
QCResAWasNeg_QCCrewMe	我刚刚没有
QCResAWasNeg	{0} 刚刚没有
QCResAWasNeg_QCCrewNoOne
QCResADid_QCCrewMe	我做的
QCResADid	{0} 做的
QCResADid_QCCrewNoOne	没有人做
QCResADidNeg_QCCrewMe	我没有做
QCResADidNeg	{0} 没有做
QCResADidNeg_QCCrewNoOne
QCResAWasAtB_QCCrewMe_ANY	我刚刚在{0}
QCResAWasAtB	{0} 刚刚在{1}
